 ,Tidak bisa diubah,,,,,Informasi SKU,,,,
Error Message,Product ID,Nama Produk,URL,Total Stok,Stok Campaign,Stok Utama*,SKU Name,Status*,Harga (Rp)*,
Abaikan kolom ini. Kolom akan menampilkan pesan jika ada kesalahan setelah kamu melakukan upload produk.,"Abaikan kolom ini. Jangan ubah ID Produkmu. 

Jika kamu ubah dan masukkan ID produk lain yang benar, ID produk akan berubah. Namun, jika kamu ubah dan masukkan ID produk yang salah, informasi akan diabaikan.",Jangan ubah Nama Produk. Setiap ada perubahan yang kamu buat pada nama produk akan diabaikan.,URL tidak dapat diubah. Perubahan di URL akan diabaikan.,Total Stock tidak dapat diubah. Perubahan di Total Stock akan diabaikan,Stok campaign tidak bisa diubah. Pelajari stok campaign selengkapnya di https://seller.tokopedia.com/edu/cara-atur-diskon-potongan-harga-os/,"Isi jumlah stok yang tersedia dalam format angka tanpa menggunakan koma dan titik. Stok akan berkurang ketika pembayaran dari pembeli telah diverifikasi. Jumlah stok tidak ditampilkan kepada pembeli. Jika kolom tidak diisi atau mengandung sesuatu di luar angka 1 hingga 999999, maka otomatis 1.","(Opsional) Masukkan SKU maks. 50 karakter.
 
SKU bisa diubah jika produk ini belum terjual.","Pilih status produk: Aktif atau Nonaktif

Jika kolom tidak diisi atau mengandung sesuatu di luar aktif atau nonaktif maka otomatis aktif.",Masukkan harga produk. Harga dalam rupiah tanpa menggunakan koma dan titik. Harga harus antara 100 - 10000000000000000,
,372551673,BLOK SEHER ATAU BORING BEAT FI MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-beat-fi-milkuni,10,0,10,,Aktif,263900,f527ebf4387e83debd9b
,371986819,BLOK SEHER ATAU BORING GL100 GL 100 MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-gl100-gl-100-milkuni,0,0,0,,Nonaktif,263900,d69b522932f8418e9d6a
,372554042,BLOK SEHER ATAU BORING GLPRO NEOTECH GL PRO NEOTECH MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-glpro-neotech-gl-pro-neotech-milkuni,10,0,10,,Aktif,283900,27aa36b247ce8061a867
,371988713,BLOK SEHER ATAU BORING KLX MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-klx-milkuni,9,0,9,,Aktif,363900,d7ec578b434dfa7ee1a7
,371932245,BLOK SEHER ATAU BORING MILKUNI BEAT SCOOPY SPACY KARBU,https://tokopedia.com/bunshopz/blok-seher-atau-boring-milkuni-beat-scoopy-spacy-karbu,18,0,18,,Aktif,270000,6e4fbe36359170104b27
,372554969,BLOK SEHER ATAU BORING MIO J FINO FI MIO GT SOUL GT MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-mio-j-fino-fi-mio-gt-soul-gt-milkuni,9,0,9,,Aktif,283900,ce850d664d99924f789a
,373522613,BLOK SEHER ATAU BORING MIO MIO SOUL FINO ORISINIL YAMAHA YGP,https://tokopedia.com/bunshopz/blok-seher-atau-boring-mio-mio-soul-fino-orisinil-yamaha-ygp,10,0,10,,Aktif,210000,82016724cf15acd7d2a5
,478554655,BLOK SEHER ATAU BORING SET RX KING RXK YP 1,https://tokopedia.com/bunshopz/blok-seher-atau-boring-set-rx-king-rxk-yp-1,100,0,100,,Aktif,1650000,bbf32e428dbbef815934
,478500479,BLOK SEHER ATAU BORING SET TS 125 TS125,https://tokopedia.com/bunshopz/blok-seher-atau-boring-set-ts-125-ts125,99,0,99,,Aktif,875000,f1b227caf1a961d40e7e
,373521715,BLOK SEHER ATAU BORING SILINDER JUPITER MX ORISINIL YAMAHA YGP,https://tokopedia.com/bunshopz/blok-seher-atau-boring-silinder-jupiter-mx-orisinil-yamaha-ygp,10,0,10,,Aktif,323900,b45c850ffe6f1a6217c0
,373524004,BLOK SEHER ATAU BORING SILINDER JUPITER Z1,https://tokopedia.com/bunshopz/blok-seher-atau-boring-silinder-jupiter-z1,15,0,15,,Aktif,215000,7884f1c4d74d3fe5cfea
,373524386,BLOK SEHER ATAU BORING SILINDER MIO J X RIDE MIO SOUL GT XRIDE YGP,https://tokopedia.com/bunshopz/blok-seher-atau-boring-silinder-mio-j-x-ride-mio-soul-gt-xride-ygp,15,0,15,,Aktif,207900,b4c73a3e0da75ad5f169
,371991134,BLOK SEHER ATAU BORING SPIN125 125 MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-spin125-125-milkuni,10,0,10,,Aktif,263900,23b01e44a1798149df03
,372556179,BLOK SEHER ATAU BORING SUPRAX SUPRA X GRAND MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-suprax-supra-x-grand-milkuni,10,0,10,,Aktif,197900,e3fa0b5018a5dcfdcb01
,373519293,BLOK SEHER ATAU BORING VIXION ORISINIL YAMAHA,https://tokopedia.com/bunshopz/blok-seher-atau-boring-vixion-orisinil-yamaha,10,0,10,,Aktif,293900,f03c1af5e6da38d9948b
,373517785,BLOK SEHER BORING DAN PISTON KIT JUPITER MX ORISINIL YAMAHA,https://tokopedia.com/bunshopz/blok-seher-boring-dan-piston-kit-jupiter-mx-orisinil-yamaha,10,0,10,,Aktif,587900,905fdaa2bdb44e300ecc
,373519932,BLOK SEHER BORING DAN PISTON KIT JUPITER Z1 Z 1 ORISINIL YAMAHA,https://tokopedia.com/bunshopz/blok-seher-boring-dan-piston-kit-jupiter-z1-z-1-orisinil-yamaha,10,0,10,,Aktif,333900,06a6dd2f1cf79e55c809
,373518911,BLOK SEHER BORING DAN PISTON KIT MIO MIO SOUL FINO ORISINIL YAMAHA,https://tokopedia.com/bunshopz/blok-seher-boring-dan-piston-kit-mio-mio-soul-fino-orisinil-yamaha,10,0,10,,Aktif,353900,28a26301b3b8f08bb2b8
,328912369,BLOK SEHER BORING F1ZR FORCE ONE THALLAND,https://tokopedia.com/bunshopz/blok-seher-boring-f1zr-force-one-thalland,12,0,12,,Nonaktif,340000,c4a2097a73076e290b88
,328914214,BLOK SEHER BORING GRAND PRIMA SUPRA X 110,https://tokopedia.com/bunshopz/blok-seher-boring-grand-prima-supra-x-110,16,0,16,,Nonaktif,173900,06d6053805d0a5beb2bf
,328915166,BLOK SEHER BORING JUPITER Z SET MILKUNI,https://tokopedia.com/bunshopz/blok-seher-boring-jupiter-z-set-milkuni,15,0,15,,Aktif,258900,cbf66e9bfc79fdb8dfb5
,328916485,BLOK SEHER BORING MIO J MIO GT X RIDE TAKA,https://tokopedia.com/bunshopz/blok-seher-boring-mio-j-mio-gt-x-ride-taka,15,0,15,,Aktif,308900,fc83aab393464af562a3
,328919479,BLOK SEHER BORING MIO J MIO GT X RIDE THALLAND,https://tokopedia.com/bunshopz/blok-seher-boring-mio-j-mio-gt-x-ride-thalland,16,0,16,,Nonaktif,273900,abc4eb8e937e7171fcbc
,328921784,BLOK SEHER BORING MIO KARBU,https://tokopedia.com/bunshopz/blok-seher-boring-mio-karbu,0,0,0,,Nonaktif,263900,d26887c054828675369c
,329112875,BLOK SEHER BORING NEOTECH GLPRO,https://tokopedia.com/bunshopz/blok-seher-boring-neotech-glpro,15,0,15,,Aktif,289900,90ce31c1ae994f37380c
,373521434,BLOK SEHER BORING SILINDER DAN PISTON KIT MIO J X RIDE ORISINIL YGP,https://tokopedia.com/bunshopz/blok-seher-boring-silinder-dan-piston-kit-mio-j-x-ride-orisinil-ygp,9,0,9,,Aktif,377900,47ef5a61d747a9f16a65
,373527555,BLOK SEHER BORING SILINDER DAN PISTON KIT VEGA CRYPTON ORISINIL YGP,https://tokopedia.com/bunshopz/blok-seher-boring-silinder-dan-piston-kit-vega-crypton-orisinil-ygp,15,0,15,,Aktif,403900,b94e7029307447a30ba6
,373525344,BLOK SEHER BORING SILINDER DAN PISTON KIT XEON ORISINIL YAMAHA YGP,https://tokopedia.com/bunshopz/blok-seher-boring-silinder-dan-piston-kit-xeon-orisinil-yamaha-ygp,15,0,15,,Aktif,408900,89bdde2724760d8279dd
,329114030,BLOK SEHER BORING SUPRA FIT NEW THALLAND,https://tokopedia.com/bunshopz/blok-seher-boring-supra-fit-new-thalland,15,0,15,,Aktif,223900,a9db1806fab636a895a2
,329116094,BLOK SEHER BORING VIXION ATAU MX TAKA,https://tokopedia.com/bunshopz/blok-seher-boring-vixion-atau-mx-taka,14,0,14,,Aktif,323900,aaaddc7072c8663d11a7
,490402175,BLOWBACK HOUSING BBH GUARDER LIGHT WEIGHT HICAPA HI-CAPA TM MARUI,https://tokopedia.com/bunshopz/blowback-housing-bbh-guarder-light-weight-hicapa-hi-capa-tm-marui,0,0,0,,Nonaktif,350000,e0e884102d0911f0ba15
,484578399,BLOWBACK HOUSING BBH ORI TM MARUI G17 G SERIES,https://tokopedia.com/bunshopz/blowback-housing-bbh-ori-tm-marui-g17-g-series,1,0,1,,Nonaktif,175000,e1b2ee3b4cd459a7d3e3
,531104229,BLOWBACK HOUSING UNIT GUARDER LIGHTWEIGHT G17 19 22 34 TM WE KJW,https://tokopedia.com/bunshopz/blowback-housing-unit-guarder-lightweight-g17-19-22-34-tm-we-kjw,3,0,3,,Aktif,325000,c50a2fe9242108525b9c
,1220507165,BUCKLE HEAD SABUK IPSC PUNISHER 3D PRINT POLYCARBONATE,https://tokopedia.com/bunshopz/buckle-head-sabuk-ipsc-punisher-3d-print-polycarbonate,999,0,999,,Nonaktif,50000,a00fdc674153b71b03a7
,273954946,Blok Seher N Max Dan Piston Kit,https://tokopedia.com/bunshopz/blok-seher-n-max-dan-piston-kit,10,0,10,,Aktif,408900,ed1017b84fadf8308dde
,572683239,CHAMBER ALUMINIUM PIN STEEL DP G17 G18C G34 TM MARUI WE KJW,https://tokopedia.com/bunshopz/chamber-aluminium-pin-steel-dp-g17-g18c-g34-tm-marui-we-kjw,1,0,1,,Aktif,900000,51e8476bde4a83cff3cc
,490396006,CHAMBER CNC GUARDER TM MARUI G17 G 17 18 22 26 34 KJW WE,https://tokopedia.com/bunshopz/chamber-cnc-guarder-tm-marui-g17-g-17-18-22-26-34-kjw-we,0,0,0,,Nonaktif,275000,6c0c413aef8639f31aa3
,1031666711,CHAMBER HICAPA HI-CAPA 5.1 DAN 4.3 GUARDER TM KJW WE,https://tokopedia.com/bunshopz/chamber-hicapa-hi-capa-5-1-dan-4-3-guarder-tm-kjw-we,0,0,0,,Nonaktif,325000,5b8df9da85528390d2af
,536806382,COWCOW ALUMINIUM TRIGGER T2 SILVER HICAPA HI-CAPA,https://tokopedia.com/bunshopz/cowcow-aluminium-trigger-t2-silver-hicapa-hi-capa,1,0,1,,Nonaktif,235000,49b265b0e750bc74110d
,566846142,COWCOW TRIGGER MODULE BASE BLACK HICAPA HI-CAPA,https://tokopedia.com/bunshopz/cowcow-trigger-module-base-black-hicapa-hi-capa,1,0,1,,Nonaktif,265000,56ee725799d5ca4d2a08
,1128955367,Chamber Hicapa 5.1 4.3 SET TM KJW WE,https://tokopedia.com/bunshopz/chamber-hicapa-5-1-4-3-set-tm-kjw-we,0,0,0,,Nonaktif,425000,4589ad763fe981ff5a86
,536778974,CowCow Aluminum CNC Trigger Module Shoe C Gold,https://tokopedia.com/bunshopz/cowcow-aluminum-cnc-trigger-module-shoe-c-gold,1,0,1,,Nonaktif,235000,f41f67eb1a520e0e3d22
,572689811,CowCow High Flow Aluminium Loading Nozzle For Marui Hi-Capa,https://tokopedia.com/bunshopz/cowcow-high-flow-aluminium-loading-nozzle-for-marui-hi-capa,0,0,0,,Nonaktif,1100000,ba763e38ae656da0e44a
,572695090,CowCow SS G Guide Rod Set Marui G17 G18C G34 TM WE KJW,https://tokopedia.com/bunshopz/cowcow-ss-g-guide-rod-set-marui-g17-g18c-g34-tm-we-kjw,1,0,1,,Nonaktif,495000,fe37ad517465a6693e97
,671656949,DISCONNECTOR COWCOW IP1 TM HI-CAPA HICAPA,https://tokopedia.com/bunshopz/disconnector-cowcow-ip1-tm-hi-capa-hicapa,1,0,1,,Aktif,325000,ad28f22b9c19f543ac7a
,671651015,DISCONNECTOR SPRING COWCOW TM HI-CAPA HICAPA,https://tokopedia.com/bunshopz/disconnector-spring-cowcow-tm-hi-capa-hicapa,1,0,1,,Nonaktif,80000,fd2e4537b268703c8189
,467446155,DUDUKAN HANDLE KOPLING SATRIA FU 150,https://tokopedia.com/bunshopz/dudukan-handle-kopling-satria-fu-150,99,0,99,,Aktif,18000,feff7b876943688cc2b5
,473557696,DUDUKAN LAMPU STOP LAMP RX KING RXK ORI YGP YAMAHA,https://tokopedia.com/bunshopz/dudukan-lampu-stop-lamp-rx-king-rxk-ori-ygp-yamaha,100,0,100,,Aktif,60000,a156b8ba795d8f397043
,1220499894,DUDUKAN RMR VISMR HICAPA HI-CAPA SIGHT,https://tokopedia.com/bunshopz/dudukan-rmr-vismr-hicapa-hi-capa-sight,1000,0,1000,,Nonaktif,100000,9cd39bf4fe84de792387
,550812421,ELEMENT CMORE C-MORE RED DOT SIGHT,https://tokopedia.com/bunshopz/element-cmore-c-more-red-dot-sight,0,0,0,,Nonaktif,650000,e9108f649cfde631966b
,671498871,ENHANCED NOZZLE VALVE BLOCKER TM KJW WE HI-CAPA HICAPA G17 SERIES,https://tokopedia.com/bunshopz/enhanced-nozzle-valve-blocker-tm-kjw-we-hi-capa-hicapa-g17-series,0,0,0,,Nonaktif,335000,c83da85bb15ce2015ccf
,483925722,Enhanced Spring Set Steel GUARDER G 17 18 19 34 Marui We TM KJW,https://tokopedia.com/bunshopz/enhanced-spring-set-steel-guarder-g-17-18-19-34-marui-we-tm-kjw,1,0,1,,Nonaktif,155000,a7dd0c3833689eda8f51
,671672221,FIRING PIN STAINLESS STEEL COWCOW TM HI-CAPA HICAPA,https://tokopedia.com/bunshopz/firing-pin-stainless-steel-cowcow-tm-hi-capa-hicapa,4,0,4,,Nonaktif,350000,67bceb4831da4d8572c3
,731905393,FRONT AND REAR SIGHT ALUMINIUM AIP HICAPA HI-CAPA 5.1 TM KJW WE,https://tokopedia.com/bunshopz/front-and-rear-sight-aluminium-aip-hicapa-hi-capa-5-1-tm-kjw-we,4,0,4,,Aktif,685000,529fd23e1d99b71bdbe2
,1420864616,FRONT SIGHT STEEL FIBER EDGE HICAPA 2MM FOR COMPETITION,https://tokopedia.com/bunshopz/front-sight-steel-fiber-edge-hicapa-2mm-for-competition,0,0,0,,Nonaktif,350000,419491dd340ecbd004e0
,1229599857,GEARBOX ARES M4 MOSFET EFCS REAR WIRE,https://tokopedia.com/bunshopz/gearbox-ares-m4-mosfet-efcs-rear-wire,1,0,1,,Aktif,3100000,790420d7ba59e45c8346
,329117620,GEARSET GEAR SET AXELO CHOHO,https://tokopedia.com/bunshopz/gearset-gear-set-axelo-choho,15,0,15,,Aktif,123900,a5508ac2dfaf9d8e9856
,329119183,GEARSET GEAR SET BAJAJ PULSAR 135 CHOHO,https://tokopedia.com/bunshopz/gearset-gear-set-bajaj-pulsar-135-choho,15,0,15,,Aktif,152900,f1dc809f7ddc18be1f6d
